Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	pLI	DSI_g	DPI_g	N_diseases	N_SNPs
POLR2D	5433	O15514	RNA polymerase II subunit D	Transcription factor	0.21392	0.839	0.346	5	0
POLR2E	5434	P19388	RNA polymerase II subunit E	Enzyme	7.2128e-09	0.736	0.192	18	3
POLR2F	5435	P61218	RNA polymerase II subunit F	Enzyme	0.012528	0.722	0.308	30	47
POLR2G	5436	P62487	RNA polymerase II subunit G	Enzyme	1.257e-06	0.78	0.269	13	1
POLR2J	5439	P52435	RNA polymerase II subunit J	Enzyme	0.0071512	1.0	0.077	1	1
POLR2K	5440	P53803	RNA polymerase II subunit K	Enzyme	0.0011708	1.0	0.077	1	0
POLR2L	5441	P62875	RNA polymerase II subunit L	Enzyme	0.00045417	1.0	0.077	2	1
POLRMT	5442	O00411	RNA polymerase mitochondrial	Enzyme	1.739e-20	0.839	0.346	8	1
POMC	5443	P01189	proopiomelanocortin		0.00011658	0.356	0.846	873	39
PON1	5444	P27169	paraoxonase 1		9.8142e-11	0.409	0.885	496	29
PON2	5445	Q15165	paraoxonase 2		5.4352e-05	0.566	0.808	117	9
PON3	5446	Q15166	paraoxonase 3		2.1034e-07	0.663	0.692	62	0
POR	5447	P16435	cytochrome p450 oxidoreductase		3.4212e-10	0.502	0.769	218	21
POU1F1	5449	P28069	POU class 1 homeobox 1		0.045046	0.548	0.654	155	21
POU2AF1	5450	Q16633	POU class 2 homeobox associating factor 1		0.56553	0.608	0.615	70	4
POU2F1	5451	P14859	POU class 2 homeobox 1		0.90229	0.558	0.769	115	7
POU2F2	5452	P09086	POU class 2 homeobox 2		0.99884	0.599	0.692	69	2
POU3F1	5453	Q03052	POU class 3 homeobox 1		0.56469	0.711	0.462	25	0
POU3F2	5454	P20265	POU class 3 homeobox 2		0.92007	0.7	0.423	40	1
POU3F3	5455	P20264	POU class 3 homeobox 3		0.88278	0.682	0.615	34	1
POU3F4	5456	P49335	POU class 3 homeobox 4		0.5746	0.633	0.654	65	18
POU4F1	5457	Q01851	POU class 4 homeobox 1		0.88762	0.628	0.5	54	0
POU4F2	5458	Q12837	POU class 4 homeobox 2		0.074814	0.729	0.269	22	0
POU4F3	5459	Q15319	POU class 4 homeobox 3		0.91964	0.7	0.538	23	8
POU5F1	5460	Q01860	POU class 5 homeobox 1		0.95371	0.441	0.846	328	29
POU5F1B	5462	Q06416	POU class 5 homeobox 1B		0.00029118	0.67	0.346	36	21
POU6F1	5463	Q14863	POU class 6 homeobox 1		0.88028	0.839	0.231	10	2
PPA1	5464	Q15181	inorganic pyrophosphatase 1	Enzyme	1.917e-05	0.656	0.615	44	0
PPARA	5465	Q07869	peroxisome proliferator activated receptor alpha	Nuclear receptor	0.030182	0.432	0.885	408	20
PPARD	5467	Q03181	peroxisome proliferator activated receptor delta	Nuclear receptor	0.99497	0.513	0.846	197	23
PPARG	5468	P37231	peroxisome proliferator activated receptor gamma	Nuclear receptor	0.029194	0.358	0.885	877	101
MED1	5469	Q15648	mediator complex subunit 1		1.0	0.573	0.692	88	4
PPAT	5471	Q06203	phosphoribosyl pyrophosphate amidotransferase	Enzyme	0.98606	0.705	0.385	21	0
PPBP	5473	P02775	pro-platelet basic protein	Signaling	0.057739	0.544	0.808	111	0
PPEF1	5475	O14829	protein phosphatase with EF-hand domain 1		0.9873	0.89	0.115	4	0
CTSA	5476	P10619	cathepsin A	Enzyme	5.8984e-09	0.619	0.731	73	19
PPIA	5478	P62937	peptidylprolyl isomerase A		0.55734	0.51	0.769	180	3
PPIB	5479	P23284	peptidylprolyl isomerase B		4.7242e-05	0.641	0.577	59	8
PPIC	5480	P45877	peptidylprolyl isomerase C		0.00030514	0.805	0.231	9	0
PPID	5481	Q08752	peptidylprolyl isomerase D		1.9309e-09	0.603	0.692	72	2
PPIAP9	5491		peptidylprolyl isomerase A pseudogene 9			1.0	0.115	1	1
PPL	5493	O60437	periplakin	Cellular structure	1.5145e-42	0.666	0.538	50	17
PPM1A	5494	P35813	protein phosphatase, Mg2+/Mn2+ dependent 1A	Enzyme	0.99834	0.691	0.5	33	1
PPM1B	5495	O75688	protein phosphatase, Mg2+/Mn2+ dependent 1B	Enzyme	0.0090829	0.711	0.5	34	1
PPM1G	5496	O15355	protein phosphatase, Mg2+/Mn2+ dependent 1G	Enzyme	0.9604	0.839	0.269	8	8
PPOX	5498	P50336	protoporphyrinogen oxidase		0.02829	0.678	0.5	53	28
PPP1CA	5499	P62136	protein phosphatase 1 catalytic subunit alpha	Enzyme	0.98588	0.674	0.5	33	1
PPP1CB	5500	P62140	protein phosphatase 1 catalytic subunit beta	Enzyme	0.99912	0.601	0.577	105	10
PPP1CC	5501	P36873	protein phosphatase 1 catalytic subunit gamma	Enzyme	0.95777	0.861	0.154	8	1
PPP1R1A	5502	Q13522	protein phosphatase 1 regulatory inhibitor subunit 1A	Enzyme modulator	0.021894	0.559	0.692	106	3
PPP1R2	5504	P41236	protein phosphatase 1 regulatory inhibitor subunit 2	Enzyme modulator	0.06928	0.839	0.192	7	0
PPP1R3A	5506	Q16821	protein phosphatase 1 regulatory subunit 3A	Enzyme modulator	9.3122e-16	0.711	0.577	37	4
PPP1R3C	5507	Q9UQK1	protein phosphatase 1 regulatory subunit 3C	Enzyme modulator	0.0026397	0.711	0.5	25	0
PPP1R7	5510	Q15435	protein phosphatase 1 regulatory subunit 7		0.99458	0.821	0.231	13	0
PPP1R8	5511	Q12972	protein phosphatase 1 regulatory subunit 8		0.98791	0.722	0.385	25	0
PPP1R10	5514	Q96QC0	protein phosphatase 1 regulatory subunit 10		1.0	0.751	0.423	22	3
PPP2CA	5515	P67775	protein phosphatase 2 catalytic subunit alpha		0.9893	0.608	0.769	87	3
PPP2CB	5516	P62714	protein phosphatase 2 catalytic subunit beta		0.34419	0.861	0.192	8	0
PPP2R1A	5518	P30153	protein phosphatase 2 scaffold subunit Aalpha	Enzyme	0.98389	0.588	0.577	104	8
PPP2R1B	5519	P30154	protein phosphatase 2 scaffold subunit Abeta	Enzyme	3.0047e-15	0.678	0.423	38	12
PPP2R2A	5520	P63151	protein phosphatase 2 regulatory subunit Balpha	Enzyme	0.99495	0.67	0.462	42	2
PPP2R2B	5521	Q00005	protein phosphatase 2 regulatory subunit Bbeta	Enzyme	0.98467	0.601	0.577	86	6
PPP2R2C	5522	Q9Y2T4	protein phosphatase 2 regulatory subunit Bgamma	Enzyme	0.89954	0.7	0.5	32	15
PPP2R3A	5523	Q06190	protein phosphatase 2 regulatory subunit B''alpha	Enzyme	0.62349	0.805	0.231	18	6
PTPA	5524	Q15257	protein phosphatase 2 phosphatase activator	Enzyme modulator	0.99057	0.48	0.846	245	5
PPP2R5A	5525	Q15172	protein phosphatase 2 regulatory subunit B'alpha	Enzyme	0.81558	0.931	0.115	9	2
PPP2R5B	5526	Q15173	protein phosphatase 2 regulatory subunit B'beta	Enzyme	0.98416	0.931	0.154	4	0
PPP2R5C	5527	Q13362	protein phosphatase 2 regulatory subunit B'gamma	Enzyme	0.97071	0.751	0.308	22	1
PPP2R5D	5528	Q14738	protein phosphatase 2 regulatory subunit B'delta	Enzyme	0.99993	0.722	0.462	33	7
PPP2R5E	5529	Q16537	protein phosphatase 2 regulatory subunit B'epsilon	Enzyme	0.99997	0.691	0.423	33	4
PPP3CA	5530	Q08209	protein phosphatase 3 catalytic subunit alpha		0.99988	0.568	0.769	149	14
PPP4C	5531	P60510	protein phosphatase 4 catalytic subunit		0.4554	0.7	0.462	28	1
PPP3CB	5532	P16298	protein phosphatase 3 catalytic subunit beta		0.99998	0.76	0.308	13	0
PPP3CC	5533	P48454	protein phosphatase 3 catalytic subunit gamma		0.26374	0.769	0.192	15	12
PPP3R1	5534	P63098	protein phosphatase 3 regulatory subunit B, alpha		0.41481	0.682	0.538	33	8
PPP3R2	5535	Q96LZ3	protein phosphatase 3 regulatory subunit B, beta		0.0010651	0.931	0.077	2	0
PPP5C	5536	P53041	protein phosphatase 5 catalytic subunit		0.99938	0.644	0.692	48	5
PPP6C	5537	O00743	protein phosphatase 6 catalytic subunit		0.85535	0.729	0.231	20	3
PPT1	5538	P50897	palmitoyl-protein thioesterase 1	Enzyme	4.862e-05	0.593	0.808	112	90
PPY	5539	P01298	pancreatic polypeptide	Signaling	0.01181	0.663	0.308	40	0
NPY4R	5540	P0DQD5;P50391	neuropeptide Y receptor Y4		8.2144e-07	0.792	0.269	11	0
PRB1	5542	P04280	proline rich protein BstNI subfamily 1 (gene/pseudogene)		8.3839e-11	0.621	0.692	54	4
PRB3	5544	Q04118	proline rich protein BstNI subfamily 3		6.2362e-07	0.839	0.269	11	1
PRB4	5545	P10163	proline rich protein BstNI subfamily 4		1.2854e-09	0.861	0.231	7	0
PRCC	5546	Q92733	proline rich mitotic checkpoint control factor		0.96281	0.716	0.231	24	1
PRCP	5547	P42785	prolylcarboxypeptidase	Enzyme	8.7577e-12	0.633	0.692	68	7
PRD	5548		primary retinal dysplasia			0.821	0.231	9	0
PRELP	5549	P51888	proline and arginine rich end leucine rich repeat protein		4.7067e-05	0.695	0.5	26	1
PREP	5550	P48147	prolyl endopeptidase	Enzyme	0.08025	0.576	0.731	105	1
PRF1	5551	P14222	perforin 1		5.4875e-06	0.54	0.692	163	31
SRGN	5552	P10124	serglycin		0.69656	0.588	0.731	84	7
PRG2	5553	P13727	proteoglycan 2, pro eosinophil major basic protein	Enzyme modulator	0.00019062	0.678	0.538	36	1
PRH1	5554	P02810	proline rich protein HaeIII subfamily 1		0.0072243	0.659	0.5	41	23
PRH2	5555	P02810	proline rich protein HaeIII subfamily 2		0.012493	0.663	0.5	38	4
PRIM1	5557	P49642	DNA primase subunit 1	Enzyme	0.0009938	0.861	0.154	18	1
PRIM2	5558	P49643	DNA primase subunit 2		1.1605e-07	0.861	0.231	5	3
PRKAA1	5562	Q13131	protein kinase AMP-activated catalytic subunit alpha 1	Kinase	0.13725	0.453	0.846	325	13
PRKAA2	5563	P54646	protein kinase AMP-activated catalytic subunit alpha 2	Kinase	3.5282e-08	0.456	0.846	317	7
PRKAB1	5564	Q9Y478	protein kinase AMP-activated non-catalytic subunit beta 1	Kinase	0.0052573	0.46	0.846	296	2
PRKAB2	5565	O43741	protein kinase AMP-activated non-catalytic subunit beta 2	Enzyme modulator	0.72559	0.931	0.115	5	0
PRKACA	5566	P17612	protein kinase cAMP-activated catalytic subunit alpha	Kinase	0.97142	0.606	0.692	88	3
PRKACB	5567	P22694	protein kinase cAMP-activated catalytic subunit beta	Kinase	0.35122	0.67	0.577	33	3
PRKACG	5568	P22612	protein kinase cAMP-activated catalytic subunit gamma	Kinase		0.644	0.654	46	2
PKIB	5570	Q9C010	cAMP-dependent protein kinase inhibitor beta	Enzyme modulator	0.046118	0.792	0.308	9	2
PRKAG1	5571	P54619	protein kinase AMP-activated non-catalytic subunit gamma 1	Kinase	3.6224e-05			8	4
PRKAR1A	5573	P10644	protein kinase cAMP-dependent type I regulatory subunit alpha		0.99985	0.401	0.846	597	65
PRKAR1B	5575	P31321	protein kinase cAMP-dependent type I regulatory subunit beta		0.17935	0.716	0.385	45	8
PRKAR2A	5576	P13861	protein kinase cAMP-dependent type II regulatory subunit alpha		0.11865	0.805	0.269	16	3
PRKAR2B	5577	P31323	protein kinase cAMP-dependent type II regulatory subunit beta		0.99713	0.722	0.538	24	2
PRKCA	5578	P17252	protein kinase C alpha	Kinase	0.3677	0.44	0.846	368	15
PRKCB	5579	P05771	protein kinase C beta	Kinase	1.0	0.453	0.885	317	18
PRKCD	5580	Q05655	protein kinase C delta	Kinase	0.99995	0.48	0.846	287	4
PRKCE	5581	Q02156	protein kinase C epsilon	Kinase	0.99988	0.597	0.692	112	51
PRKCG	5582	P05129	protein kinase C gamma	Kinase	0.99985	0.617	0.5	90	35
PRKCH	5583	P24723	protein kinase C eta	Kinase	0.42878	0.653	0.577	55	11
PRKCI	5584	P41743	protein kinase C iota	Kinase	0.067986	0.584	0.5	78	3
PKN1	5585	Q16512	protein kinase N1	Kinase	0.20442	0.647	0.692	48	3
PKN2	5586	Q16513	protein kinase N2	Kinase	1.0	0.711	0.423	29	7
PRKD1	5587	Q15139	protein kinase D1	Kinase	6.6485e-07	0.531	0.846	171	19
PRKCQ	5588	Q04759	protein kinase C theta	Kinase	0.2972	0.636	0.654	53	13
PRKCSH	5589	P14314	protein kinase C substrate 80K-H	Enzyme	1.0122e-07	0.674	0.538	44	5
PRKCZ	5590	Q05513	protein kinase C zeta	Kinase	0.541	0.604	0.654	88	8
PRKDC	5591	P78527	protein kinase, DNA-activated, catalytic subunit	Kinase	1.0	0.54	0.808	131	18
PRKG1	5592	Q13976	protein kinase cGMP-dependent 1	Kinase	0.99938	0.603	0.769	114	20
PRKG2	5593	Q13237	protein kinase cGMP-dependent 2	Kinase	0.64685	0.705	0.308	31	7
MAPK1	5594	P28482	mitogen-activated protein kinase 1	Kinase	0.99698	0.33	0.923	1059	13
MAPK3	5595	P27361	mitogen-activated protein kinase 3	Kinase	0.036884	0.379	0.885	647	7
MAPK4	5596	P31152	mitogen-activated protein kinase 4	Kinase	0.21895	0.821	0.231	19	9
MAPK6	5597	Q16659	mitogen-activated protein kinase 6	Kinase	0.69646	0.678	0.346	40	4
MAPK7	5598	Q13164	mitogen-activated protein kinase 7	Kinase	0.0031023	0.553	0.654	127	6
MAPK8	5599	P45983	mitogen-activated protein kinase 8	Kinase	0.99823	0.397	0.885	520	4
MAPK11	5600	Q15759	mitogen-activated protein kinase 11	Kinase	0.00033565	0.695	0.462	25	0
MAPK9	5601	P45984	mitogen-activated protein kinase 9	Kinase	0.069738	0.561	0.731	115	1
MAPK10	5602	P53779	mitogen-activated protein kinase 10	Kinase	0.27553	0.606	0.692	75	6
MAPK13	5603	O15264	mitogen-activated protein kinase 13	Kinase	6.7197e-11	0.705	0.577	26	1
MAP2K1	5604	Q02750	mitogen-activated protein kinase kinase 1	Kinase	0.89669	0.439	0.846	389	43
MAP2K2	5605	P36507	mitogen-activated protein kinase kinase 2	Kinase	0.96673	0.534	0.731	177	19
MAP2K3	5606	P46734	mitogen-activated protein kinase kinase 3	Kinase	0.022009	0.619	0.615	60	3
MAP2K5	5607	Q13163	mitogen-activated protein kinase kinase 5	Kinase	0.004765	0.628	0.654	70	22
MAP2K6	5608	P52564	mitogen-activated protein kinase kinase 6	Kinase	0.91334	0.631	0.615	59	5
MAP2K7	5609	O14733	mitogen-activated protein kinase kinase 7	Kinase	0.99552	0.419	0.808	408	9
EIF2AK2	5610	P19525	eukaryotic translation initiation factor 2 alpha kinase 2	Kinase	0.017643	0.538	0.769	142	2
DNAJC3	5611	Q13217	DnaJ heat shock protein family (Hsp40) member C3		0.017493	0.67	0.577	38	2
THAP12	5612	O43422	THAP domain containing 12		0.96834			2	1
PRKX	5613	P51817	protein kinase X-linked	Kinase	0.032585	0.821	0.231	7	1
PRKY	5616	O43930	protein kinase Y-linked (pseudogene)	Kinase		0.839	0.192	6	0
PRL	5617	P01236	prolactin	Signaling	2.9015e-07	0.406	0.885	506	3
PRLR	5618	P16471	prolactin receptor	Signaling	0.98732	0.572	0.692	110	15
PRM1	5619	P04553	protamine 1		0.02677	0.722	0.269	20	3
PRM2	5620	P04554	protamine 2		0.024644	0.792	0.154	9	3
PRNP	5621	F7VJQ1;P04156	prion protein		0.00063182	0.445	0.923	426	47
PSPN	5623	O60542	persephin	Signaling	0.00011172	0.608	0.769	70	2
PROC	5624	P04070	protein C, inactivator of coagulation factors Va and VIIIa	Enzyme	1.9118e-05	0.504	0.808	200	63
PRODH	5625	O43272	proline dehydrogenase 1	Enzyme	5.3577e-12	0.612	0.692	85	17
PROP1	5626	O75360	PROP paired-like homeobox 1		0.087746	0.576	0.615	117	30
PROS1	5627	P07225	protein S		0.00047089	0.467	0.846	283	57
PROS2P	5628		protein S (beta) pseudogene			0.78	0.192	12	1
PROX1	5629	Q92786	prospero homeobox 1	Transcription factor	0.99884	0.565	0.538	114	10
PRPH	5630	P41219	peripherin		4.7898e-14	0.623	0.462	73	2
PRPS1	5631	P60891	phosphoribosyl pyrophosphate synthetase 1	Kinase	0.91542	0.584	0.731	151	26
PRPS2	5634	P11908	phosphoribosyl pyrophosphate synthetase 2	Kinase	0.93544	0.89	0.115	8	1
PRPSAP1	5635	Q14558	phosphoribosyl pyrophosphate synthetase associated protein 1	Enzyme	1.7124e-07	0.931	0.077	2	1
PRPSAP2	5636	O60256	phosphoribosyl pyrophosphate synthetase associated protein 2	Enzyme	0.0031244	1.0	0.038	1	2
PRRG1	5638	O14668	proline rich and Gla domain 1	Enzyme	0.13149	1.0	0.077	1	0
PRRG2	5639	O14669	proline rich and Gla domain 2	Enzyme	9.0627e-07	1.0	0.038	3	3
PRS	5640		Prieto X-linked mental retardation syndrome			0.663	0.615	42	0
LGMN	5641	Q99538	legumain	Enzyme	0.00040535	0.579	0.731	95	0
PRSS1	5644	P07477	serine protease 1	Enzyme	4.1384e-11	0.563	0.692	117	33
PRSS2	5645	P07478	serine protease 2	Enzyme		0.628	0.769	66	14
PRSS3	5646	P35030	serine protease 3	Enzyme	3.5636e-12	0.617	0.615	59	5
MASP1	5648	P48740	mannan binding lectin serine peptidase 1	Enzyme	1.2276e-11	0.565	0.885	123	10
RELN	5649	P78509	reelin		1.0	0.515	0.731	178	52
KLK7	5650	P49862	kallikrein related peptidase 7	Enzyme	0.0006467	0.61	0.615	62	3
TMPRSS15	5651	P98073	transmembrane serine protease 15		4.5847e-32	0.751	0.385	20	6
PRSS8	5652	Q16651	serine protease 8	Enzyme	0.10007	0.641	0.5	54	0
KLK6	5653	Q92876	kallikrein related peptidase 6	Enzyme	0.0060052	0.575	0.654	99	1
HTRA1	5654	Q92743	HtrA serine peptidase 1	Enzyme	0.00049201	0.532	0.692	164	45
KLK10	5655	O43240	kallikrein related peptidase 10	Enzyme	4.3662e-07	0.608	0.538	70	1
PRTN3	5657	P24158	proteinase 3	Enzyme	3.8044e-05	0.503	0.808	215	3
PSAP	5660	P07602	prosaposin		0.99051	0.532	0.846	189	15
PSD	5662	A5PKW4	pleckstrin and Sec7 domain containing		0.90358	0.626	0.654	59	8
PSEN1	5663	P49768	presenilin 1	Enzyme	0.97322	0.469	0.846	369	155
PSEN2	5664	P49810	presenilin 2	Enzyme	0.00053736	0.55	0.654	146	32
PSG1	5669	P11464	pregnancy specific beta-1-glycoprotein 1		1.6242e-29	0.769	0.385	19	1
PSG2	5670	P11465	pregnancy specific beta-1-glycoprotein 2		1.382e-30	0.492	0.731	210	0
PSG3	5671	Q16557	pregnancy specific beta-1-glycoprotein 3		2.9137e-25	1.0	0.077	3	0
PSG4	5672	Q00888	pregnancy specific beta-1-glycoprotein 4		5.9115e-29	1.0	0.077	3	3
PSG5	5673	Q15238	pregnancy specific beta-1-glycoprotein 5		8.8239e-22	0.631	0.615	61	2
PSG6	5675	Q00889	pregnancy specific beta-1-glycoprotein 6		4.8204e-22	0.89	0.077	5	0
PSG7	5676	Q13046	pregnancy specific beta-1-glycoprotein 7 (gene/pseudogene)			0.821	0.346	11	1
PSG9	5678	Q00887	pregnancy specific beta-1-glycoprotein 9		3.8689e-22	0.89	0.192	8	2
PSG11	5680	Q9UQ72	pregnancy specific beta-1-glycoprotein 11		4.8498e-17	1.0	0.038	2	2
PSKH1	5681	P11801	protein serine kinase H1	Kinase	0.26016	0.931	0.077	4	4
PSMA1	5682	P25786	proteasome 20S subunit alpha 1		0.98251	0.711	0.308	26	1
PSMA2	5683	P25787	proteasome 20S subunit alpha 2		0.98234	0.792	0.231	12	0
PSMA3	5684	P25788	proteasome 20S subunit alpha 3		0.98462	0.805	0.423	9	5
PSMA4	5685	P25789	proteasome 20S subunit alpha 4		0.59959	0.716	0.385	30	22
PSMA5	5686	P28066	proteasome 20S subunit alpha 5		0.99376	0.674	0.538	34	2
PSMA6	5687	P60900	proteasome 20S subunit alpha 6		0.98619	0.653	0.654	43	3
PSMA7	5688	O14818	proteasome 20S subunit alpha 7		0.98768	0.659	0.462	48	0
PSMB1	5689	P20618	proteasome 20S subunit beta 1		0.96996	0.78	0.269	15	3
PSMB2	5690	P49721	proteasome 20S subunit beta 2		0.91397	0.821	0.269	8	0
PSMB3	5691	P49720	proteasome 20S subunit beta 3		0.95656	1.0	0.038	3	1
PSMB4	5692	P28070	proteasome 20S subunit beta 4		0.0026437	0.659	0.615	52	1
PSMB5	5693	P28074	proteasome 20S subunit beta 5		0.95893	0.711	0.385	27	4
PSMB6	5694	P28072	proteasome 20S subunit beta 6		0.015779	0.561	0.731	100	0
PSMB7	5695	Q99436	proteasome 20S subunit beta 7		0.89419	0.839	0.269	9	1
PSMB8	5696	P28062	proteasome 20S subunit beta 8		0.021795	0.533	0.808	165	9
PYY	5697	P10082	peptide YY	Signaling	0.011784	0.588	0.615	88	14
PSMB9	5698	P28065	proteasome 20S subunit beta 9		0.0027499	0.514	0.808	167	18
PSMB10	5699	P40306	proteasome 20S subunit beta 10		1.7692e-06	0.736	0.462	28	3
PSMC1	5700	P62191	proteasome 26S subunit, ATPase 1	Enzyme	0.99945	0.78	0.462	12	0
PSMC2	5701	P35998	proteasome 26S subunit, ATPase 2	Enzyme	0.99985	0.792	0.077	12	0
PSMC3	5702	P17980	proteasome 26S subunit, ATPase 3	Enzyme	0.9547	0.792	0.423	15	6
PSMC4	5704	P43686	proteasome 26S subunit, ATPase 4	Enzyme	0.30101	0.931	0.077	5	0
PSMC5	5705	P62195	proteasome 26S subunit, ATPase 5	Enzyme	0.93308	0.686	0.538	32	0
PSMC6	5706	P62333	proteasome 26S subunit, ATPase 6	Enzyme	0.99662	0.705	0.577	22	2
PSMD1	5707	Q99460	proteasome 26S subunit, non-ATPase 1	Enzyme modulator	1.0	0.78	0.231	14	4
PSMD2	5708	Q13200	proteasome 26S subunit, non-ATPase 2	Enzyme modulator	1.0	0.612	0.692	64	2
PSMD3	5709	O43242	proteasome 26S subunit, non-ATPase 3	Enzyme modulator	0.99997	0.751	0.462	18	10
PSMD4	5710	P55036	proteasome 26S subunit, non-ATPase 4	Enzyme modulator	0.99726	0.617	0.654	67	0
PSMD5	5711	Q16401	proteasome 26S subunit, non-ATPase 5		3.2398e-08	0.89		7	2
PSMD7	5713	P51665	proteasome 26S subunit, non-ATPase 7	Enzyme	0.26367	0.551	0.692	114	0
PSMD8	5714	P48556	proteasome 26S subunit, non-ATPase 8	Enzyme modulator	0.068806	0.716	0.385	25	0
PSMD9	5715	O00233	proteasome 26S subunit, non-ATPase 9	Enzyme modulator	4.8603e-06	0.435	0.846	344	9
PSMD10	5716	O75832	proteasome 26S subunit, non-ATPase 10		0.50136	0.552	0.808	116	2
PSMD11	5717	O00231	proteasome 26S subunit, non-ATPase 11		0.99987	0.839	0.269	7	2
PSMD12	5718	O00232	proteasome 26S subunit, non-ATPase 12	Enzyme modulator	0.99984	0.578	0.808	105	5
PSMD13	5719	Q9UNM6	proteasome 26S subunit, non-ATPase 13	Enzyme modulator	0.99901	0.861	0.154	13	6
PSME1	5720	Q06323	proteasome activator subunit 1		0.13197	0.736	0.462	21	0
PSME2	5721	Q9UL46	proteasome activator subunit 2		0.015838	0.839	0.269	11	1
PSPH	5723	P78330	phosphoserine phosphatase	Enzyme	0.00096703	0.57	0.808	114	13
PTAFR	5724	P25105	platelet activating factor receptor	G-protein coupled receptor	0.24232	0.575	0.731	96	6
PTBP1	5725	P26599	polypyrimidine tract binding protein 1		0.99961	0.517	0.769	172	6
TAS2R38	5726	P59533	taste 2 receptor member 38	G-protein coupled receptor	0.1303	0.531	0.808	149	5
PTCH1	5727	Q13635	patched 1		1.0	0.398	0.885	604	194
PTEN	5728	P60484	phosphatase and tensin homolog	Enzyme	0.25651	0.305	0.923	1349	384
PTGDR	5729	Q13258	prostaglandin D2 receptor	G-protein coupled receptor	3.58e-06	0.65	0.615	45	2
PTGDS	5730	P41222	prostaglandin D2 synthase	Enzyme	0.0050922	0.503	0.846	195	0
PTGER1	5731	P34995	prostaglandin E receptor 1	G-protein coupled receptor	0.00097345	0.674	0.538	44	1
PTGER2	5732	P43116	prostaglandin E receptor 2	G-protein coupled receptor	0.0074901	0.597	0.731	79	4
PTGER3	5733	P43115	prostaglandin E receptor 3	G-protein coupled receptor	0.37217	0.601	0.731	82	4
PTGER4	5734	P35408	prostaglandin E receptor 4	G-protein coupled receptor	0.9755	0.558	0.731	120	3
PTGFR	5737	P43088	prostaglandin F receptor	G-protein coupled receptor	0.066085	0.705	0.423	28	8
PTGFRN	5738	Q9P2B2	prostaglandin F2 receptor inhibitor		0.00047574	0.76	0.269	14	5
PTGIR	5739	P43119	prostaglandin I2 receptor	G-protein coupled receptor	0.00088819	0.711	0.423	27	4
PTGIS	5740	Q16647	prostaglandin I2 synthase		1.197e-09	0.617	0.654	70	11
PTH	5741	P01270	parathyroid hormone		0.012093	0.397	0.846	528	10
PTGS1	5742	P23219	prostaglandin-endoperoxide synthase 1	Enzyme	6.2425e-07	0.46	0.885	318	36
PTGS2	5743	P35354	prostaglandin-endoperoxide synthase 2	Enzyme	0.99597	0.314	0.962	1234	27
PTHLH	5744	P12272	parathyroid hormone like hormone		0.81146	0.453	0.846	321	5
PTH1R	5745	Q03431	parathyroid hormone 1 receptor	G-protein coupled receptor	0.57253	0.544	0.731	187	16
PTH2R	5746	P49190	parathyroid hormone 2 receptor	G-protein coupled receptor	1.4112e-20	0.78	0.308	15	4
PTK2	5747	Q05397	protein tyrosine kinase 2	Kinase	0.99987	0.497	0.808	205	21
PTK6	5753	Q13882	protein tyrosine kinase 6	Kinase	4.3468e-13	0.65	0.269	48	1
PTK7	5754	Q13308	protein tyrosine kinase 7 (inactive)	Kinase	0.99721	0.568	0.615	96	4
TWF1	5756	Q12792	twinfilin actin binding protein 1	Cellular structure	2.087e-05	0.78	0.308	13	0
